Ano,Código da Área,Área de Avaliação,Código da IES,Nome da IES,Categoria Administrativa,Modalidade de Ensino,Município do Curso,Estado,Concluintes Inscritos,Concluintes Participantes,Conceito Enade (Contínuo),Conceito Enade (Faixa)
2014,701,MATEMÁTICA (BACHARELADO),2,UNIVERSIDADE DE BRASÍLIA,,,BRASILIA,DF,30,18,2.88709079087019,3.0
2014,701,MATEMÁTICA (BACHARELADO),3,UNIVERSIDADE FEDERAL DE SERGIPE,,,SAO CRISTOVAO,SE,1,1,0.0,0.0
2014,701,MATEMÁTICA (BACHARELADO),4,UNIVERSIDADE FEDERAL DO AMAZONAS,,,MANAUS,AM,3,3,3.05521898566982,4.0
2014,701,MATEMÁTICA (BACHARELADO),5,UNIVERSIDADE FEDERAL DO PIAUÍ,,,TERESINA,PI,28,20,1.64248868132569,2.0
2014,701,MATEMÁTICA (BACHARELADO),6,UNIVERSIDADE FEDERAL DE OURO PRETO,,,OURO PRETO,MG,3,3,1.8815300773694,2.0
2014,701,MATEMÁTICA (BACHARELADO),7,UNIVERSIDADE FEDERAL DE SÃO CARLOS,,,SAO CARLOS,SP,6,4,3.67039289753936,4.0
2014,701,MATEMÁTICA (BACHARELADO),8,UNIVERSIDADE FEDERAL DE VIÇOSA,,,VICOSA,MG,6,6,3.80378326575164,4.0
2014,701,MATEMÁTICA (BACHARELADO),9,UNIVERSIDADE ESTADUAL DE LONDRINA,,,LONDRINA,PR,9,7,1.84405273188071,2.0
2014,701,MATEMÁTICA (BACHARELADO),12,UNIVERSIDADE FEDERAL DO RIO GRANDE,,,RIO GRANDE,RS,7,5,1.62667618947083,2.0
2014,701,MATEMÁTICA (BACHARELADO),17,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,,,ITUIUTABA,MG,3,3,2.08829988105037,3.0
2014,701,MATEMÁTICA (BACHARELADO),17,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,,,UBERLANDIA,MG,36,8,2.20472662561136,3.0
2014,701,MATEMÁTICA (BACHARELADO),21,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL,,,PORTO ALEGRE,RS,1,1,0.0,0.0
2014,701,MATEMÁTICA (BACHARELADO),22,UNIVERSIDADE PRESBITERIANA MACKENZIE,,,SAO PAULO,SP,4,4,1.96079570769619,3.0
2014,701,MATEMÁTICA (BACHARELADO),24,UNIVERSIDADE ESTADUAL DE SANTA CRUZ,,,ILHEUS,BA,1,1,0.0,0.0
2014,701,MATEMÁTICA (BACHARELADO),54,UNIVERSIDADE ESTADUAL DE CAMPINAS,,,CAMPINAS,SP,14,11,0.0,1.0
2014,701,MATEMÁTICA (BACHARELADO),56,UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO,,,RIO CLARO,SP,11,10,1.81861872837085,2.0
2014,701,MATEMÁTICA (BACHARELADO),56,UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO,,,SAO JOSE DO RIO PRETO,SP,18,15,2.28799205943408,3.0
2014,701,MATEMÁTICA (BACHARELADO),57,UNIVERSIDADE ESTADUAL DE MARINGÁ,,,MARINGA,PR,12,9,2.66468692385411,3.0
2014,701,MATEMÁTICA (BACHARELADO),528,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO,,,RIO DE JANEIRO,RJ,7,6,4.7241680847041,5.0
2014,701,MATEMÁTICA (BACHARELADO),547,UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO,,,RIO DE JANEIRO,RJ,10,4,2.29779763743848,3.0
2014,701,MATEMÁTICA (BACHARELADO),570,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,,,NATAL,RN,9,6,1.46422466709344,2.0
2014,701,MATEMÁTICA (BACHARELADO),571,UNIVERSIDADE FEDERAL DO PARANÁ,,,CURITIBA,PR,77,61,1.67944990727068,2.0
2014,701,MATEMÁTICA (BACHARELADO),572,UNIVERSIDADE FEDERAL FLUMINENSE,,,NITEROI,RJ,9,6,1.20992857830316,2.0
2014,701,MATEMÁTICA (BACHARELADO),572,UNIVERSIDADE FEDERAL FLUMINENSE,,,SANTO ANTONIO DE PADUA,RJ,1,1,0.0,0.0
2014,701,MATEMÁTICA (BACHARELADO),572,UNIVERSIDADE FEDERAL FLUMINENSE,,,VOLTA REDONDA,RJ,1,1,0.0,0.0
2014,701,MATEMÁTICA (BACHARELADO),573,UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO,,,SAO MATEUS,ES,4,4,2.32546834505147,3.0
2014,701,MATEMÁTICA (BACHARELADO),573,UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO,,,VITORIA,ES,8,7,2.99057271102838,4.0
2014,701,MATEMÁTICA (BACHARELADO),574,UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO,,,NOVA IGUACU,RJ,3,3,0.367568581961233,1.0
2014,701,MATEMÁTICA (BACHARELADO),574,UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO,,,SEROPEDICA,RJ,6,4,2.59503304350037,3.0
2014,701,MATEMÁTICA (BACHARELADO),575,UNIVERSIDADE FEDERAL DE MINAS GERAIS,,,BELO HORIZONTE,MG,30,21,3.05873662529739,4.0
2014,701,MATEMÁTICA (BACHARELADO),576,UNIVERSIDADE FEDERAL DE JUIZ DE FORA,,,JUIZ DE FORA,MG,2,2,3.96212795070594,5.0
2014,701,MATEMÁTICA (BACHARELADO),577,UNIVERSIDADE FEDERAL DE ALAGOAS,,,MACEIO,AL,17,16,2.94917993315955,4.0
2014,701,MATEMÁTICA (BACHARELADO),578,UNIVERSIDADE FEDERAL DA BAHIA,,,SALVADOR,BA,13,7,2.43823570527269,3.0
2014,701,MATEMÁTICA (BACHARELADO),579,UNIVERSIDADE FEDERAL DA PARAÍBA,,,JOAO PESSOA,PB,6,3,2.98713142397138,4.0
2014,701,MATEMÁTICA (BACHARELADO),580,UNIVERSIDADE FEDERAL DE PERNAMBUCO,,,RECIFE,PE,2,2,2.89747685846768,3.0
2014,701,MATEMÁTICA (BACHARELADO),581,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,,,PORTO ALEGRE,RS,20,19,3.03391218338797,4.0
2014,701,MATEMÁTICA (BACHARELADO),582,UNIVERSIDADE FEDERAL DE SANTA MARIA,,,SANTA MARIA,RS,2,2,0.919784757159176,1.0
2014,701,MATEMÁTICA (BACHARELADO),583,UNIVERSIDADE FEDERAL DO CEARÁ,,,FORTALEZA,CE,4,4,4.11972636336928,5.0
2014,701,MATEMÁTICA (BACHARELADO),584,UNIVERSIDADE FEDERAL DE GOIÁS,,,GOIANIA,GO,14,13,2.72119776863017,3.0
2014,701,MATEMÁTICA (BACHARELADO),585,UNIVERSIDADE FEDERAL DE SANTA CATARINA,,,FLORIANOPOLIS,SC,9,7,3.31661351019086,4.0
2014,701,MATEMÁTICA (BACHARELADO),586,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,,,RIO DE JANEIRO,RJ,26,25,3.60032553826518,4.0
2014,701,MATEMÁTICA (BACHARELADO),591,UNIVERSIDADE FEDERAL DE SÃO PAULO,,,SAO JOSE DOS CAMPOS,SP,21,14,2.77126088197659,3.0
2014,701,MATEMÁTICA (BACHARELADO),598,UNIVERSIDADE FEDERAL DE ITAJUBÁ - UNIFEI,,,ITAJUBA,MG,6,6,2.79559371407067,3.0
2014,701,MATEMÁTICA (BACHARELADO),789,UNIVERSIDADE FEDERAL DE RORAIMA,,,BOA VISTA,RR,6,5,1.72961560369657,2.0
2014,701,MATEMÁTICA (BACHARELADO),2564,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE,,,CAMPINA GRANDE,PB,12,8,3.12618179908849,4.0
2014,701,MATEMÁTICA (BACHARELADO),4503,UNIVERSIDADE FEDERAL DO RECÔNCAVO DA BAHIA,,,CRUZ DAS ALMAS,BA,1,1,0.0,0.0
2014,701,MATEMÁTICA (BACHARELADO),4925,FUNDAÇÃO UNIVERSIDADE FEDERAL DO ABC,,,SANTO ANDRE,SP,3,2,3.35425956348275,4.0
2014,702,MATEMÁTICA (LICENCIATURA),1,UNIVERSIDADE FEDERAL DE MATO GROSSO,,,CUIABA,MT,15,12,3.18165923951058,4.0
2014,702,MATEMÁTICA (LICENCIATURA),1,UNIVERSIDADE FEDERAL DE MATO GROSSO,,,PONTAL DO ARAGUAIA,MT,6,6,3.02374909585006,4.0
2014,702,MATEMÁTICA (LICENCIATURA),1,UNIVERSIDADE FEDERAL DE MATO GROSSO,,,RONDONOPOLIS,MT,8,8,2.41030894997241,3.0
2014,702,MATEMÁTICA (LICENCIATURA),1,UNIVERSIDADE FEDERAL DE MATO GROSSO,,,SINOP,MT,13,9,2.21024398918395,3.0
2014,702,MATEMÁTICA (LICENCIATURA),2,UNIVERSIDADE DE BRASÍLIA,,,BRASILIA,DF,61,43,4.11682254555032,5.0
2014,702,MATEMÁTICA (LICENCIATURA),3,UNIVERSIDADE FEDERAL DE SERGIPE,,,ITABAIANA,SE,21,20,2.40609196309866,3.0
2014,702,MATEMÁTICA (LICENCIATURA),3,UNIVERSIDADE FEDERAL DE SERGIPE,,,SAO CRISTOVAO,SE,44,30,2.61721250116236,3.0
2014,702,MATEMÁTICA (LICENCIATURA),4,UNIVERSIDADE FEDERAL DO AMAZONAS,,,COARI,AM,17,13,0.988174961875257,2.0
2014,702,MATEMÁTICA (LICENCIATURA),4,UNIVERSIDADE FEDERAL DO AMAZONAS,,,HUMAITA,AM,14,12,1.65573628435758,2.0
2014,702,MATEMÁTICA (LICENCIATURA),4,UNIVERSIDADE FEDERAL DO AMAZONAS,,,ITACOATIARA,AM,30,24,1.49819874533554,2.0
2014,702,MATEMÁTICA (LICENCIATURA),4,UNIVERSIDADE FEDERAL DO AMAZONAS,,,MANAUS,AM,42,20,2.63368734552009,3.0
2014,702,MATEMÁTICA (LICENCIATURA),5,UNIVERSIDADE FEDERAL DO PIAUÍ,,,PARNAIBA,PI,83,77,2.41790600908161,3.0
2014,702,MATEMÁTICA (LICENCIATURA),5,UNIVERSIDADE FEDERAL DO PIAUÍ,,,PICOS,PI,113,94,1.1586548160475,2.0
2014,702,MATEMÁTICA (LICENCIATURA),5,UNIVERSIDADE FEDERAL DO PIAUÍ,,,TERESINA,PI,432,392,1.54468401448951,2.0
2014,702,MATEMÁTICA (LICENCIATURA),6,UNIVERSIDADE FEDERAL DE OURO PRETO,,,OURO PRETO,MG,55,51,2.25298343817441,3.0
2014,702,MATEMÁTICA (LICENCIATURA),7,UNIVERSIDADE FEDERAL DE SÃO CARLOS,,,SAO CARLOS,SP,32,30,2.6016800234423,3.0
2014,702,MATEMÁTICA (LICENCIATURA),7,UNIVERSIDADE FEDERAL DE SÃO CARLOS,,,SOROCABA,SP,10,9,4.16857466380042,5.0
2014,702,MATEMÁTICA (LICENCIATURA),8,UNIVERSIDADE FEDERAL DE VIÇOSA,,,FLORESTAL,MG,6,6,3.34265536681726,4.0
2014,702,MATEMÁTICA (LICENCIATURA),8,UNIVERSIDADE FEDERAL DE VIÇOSA,,,VICOSA,MG,57,55,2.79465499223684,3.0
2014,702,MATEMÁTICA (LICENCIATURA),9,UNIVERSIDADE ESTADUAL DE LONDRINA,,,LONDRINA,PR,22,22,2.90249534125065,3.0
2014,702,MATEMÁTICA (LICENCIATURA),10,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ,,,CURITIBA,PR,18,16,3.13811365138462,4.0
2014,702,MATEMÁTICA (LICENCIATURA),12,UNIVERSIDADE FEDERAL DO RIO GRANDE,,,RIO GRANDE,RS,7,4,2.75985166416782,3.0
2014,702,MATEMÁTICA (LICENCIATURA),13,UNIVERSIDADE DE CAXIAS DO SUL,,,CAXIAS DO SUL,RS,21,18,2.72996570480768,3.0
2014,702,MATEMÁTICA (LICENCIATURA),14,UNIVERSIDADE DO VALE DO RIO DOS SINOS,,,SAO LEOPOLDO,RS,41,37,3.53111925052177,4.0
2014,702,MATEMÁTICA (LICENCIATURA),17,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,,,ITUIUTABA,MG,8,7,3.74444504258629,4.0
2014,702,MATEMÁTICA (LICENCIATURA),17,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,,,UBERLANDIA,MG,36,14,2.45417519810075,3.0
2014,702,MATEMÁTICA (LICENCIATURA),18,UNIVERSIDADE CATÓLICA DE PELOTAS,,,PELOTAS,RS,12,12,1.4394558279606,2.0
2014,702,MATEMÁTICA (LICENCIATURA),19,PONTIFÍCIA UNIVERSIDADE CATÓLICA DE CAMPINAS,,,CAMPINAS,SP,17,14,2.77681814267344,3.0
2014,702,MATEMÁTICA (LICENCIATURA),20,UNIVERSIDADE DE PASSO FUNDO,,,CARAZINHO,RS,6,6,3.42407714999869,4.0
2014,702,MATEMÁTICA (LICENCIATURA),20,UNIVERSIDADE DE PASSO FUNDO,,,PASSO FUNDO,RS,16,13,1.85318676771093,2.0
2014,702,MATEMÁTICA (LICENCIATURA),20,UNIVERSIDADE DE PASSO FUNDO,,,SOLEDADE,RS,6,5,2.43649183099615,3.0
2014,702,MATEMÁTICA (LICENCIATURA),21,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL,,,PORTO ALEGRE,RS,17,17,4.38891629190052,5.0
2014,702,MATEMÁTICA (LICENCIATURA),22,UNIVERSIDADE PRESBITERIANA MACKENZIE,,,SAO PAULO,SP,8,8,4.53244634837665,5.0
2014,702,MATEMÁTICA (LICENCIATURA),24,UNIVERSIDADE ESTADUAL DE SANTA CRUZ,,,ILHEUS,BA,37,35,2.00540922312338,3.0
2014,702,MATEMÁTICA (LICENCIATURA),29,UNIVERSIDADE ESTADUAL DO CEARÁ,,,FORTALEZA,CE,86,47,2.6991445260565,3.0
2014,702,MATEMÁTICA (LICENCIATURA),29,UNIVERSIDADE ESTADUAL DO CEARÁ,,,IGUATU,CE,13,8,1.86205267873541,2.0
2014,702,MATEMÁTICA (LICENCIATURA),29,UNIVERSIDADE ESTADUAL DO CEARÁ,,,LIMOEIRO DO NORTE,CE,2,0,0.0,0.0
2014,702,MATEMÁTICA (LICENCIATURA),29,UNIVERSIDADE ESTADUAL DO CEARÁ,,,QUIXADA,CE,14,6,2.63028431797938,3.0
2014,702,MATEMÁTICA (LICENCIATURA),40,UNIVERSIDADE DO ESTADO DA BAHIA,,,ALAGOINHAS,BA,39,38,1.82703002365896,2.0
2014,702,MATEMÁTICA (LICENCIATURA),40,UNIVERSIDADE DO ESTADO DA BAHIA,,,BARREIRAS,BA,69,61,1.7567610452904,2.0
2014,702,MATEMÁTICA (LICENCIATURA),40,UNIVERSIDADE DO ESTADO DA BAHIA,,,CAETITE,BA,41,39,2.07236732673217,3.0
2014,702,MATEMÁTICA (LICENCIATURA),40,UNIVERSIDADE DO ESTADO DA BAHIA,,,CRISTOPOLIS,BA,28,28,1.29971803099286,2.0
2014,702,MATEMÁTICA (LICENCIATURA),40,UNIVERSIDADE DO ESTADO DA BAHIA,,,EUNAPOLIS,BA,34,34,1.22924942265599,2.0
2014,702,MATEMÁTICA (LICENCIATURA),40,UNIVERSIDADE DO ESTADO DA BAHIA,,,IRECE,BA,31,31,1.9960806767516,3.0
2014,702,MATEMÁTICA (LICENCIATURA),40,UNIVERSIDADE DO ESTADO DA BAHIA,,,ITABERABA,BA,26,26,1.84212193940299,2.0
2014,702,MATEMÁTICA (LICENCIATURA),40,UNIVERSIDADE DO ESTADO DA BAHIA,,,JACOBINA,BA,44,41,1.61453547515657,2.0
2014,702,MATEMÁTICA (LICENCIATURA),40,UNIVERSIDADE DO ESTADO DA BAHIA,,,JUAZEIRO,BA,22,21,1.46707969524411,2.0
2014,702,MATEMÁTICA (LICENCIATURA),40,UNIVERSIDADE DO ESTADO DA BAHIA,,,PAULO AFONSO,BA,38,34,2.17112410932954,3.0
2014,702,MATEMÁTICA (LICENCIATURA),40,UNIVERSIDADE DO ESTADO DA BAHIA,,,SALVADOR,BA,530,398,1.37126217261975,2.0
2014,702,MATEMÁTICA (LICENCIATURA),40,UNIVERSIDADE DO ESTADO DA BAHIA,,,SENHOR DO BONFIM,BA,68,59,1.44816295127256,2.0
2014,702,MATEMÁTICA (LICENCIATURA),40,UNIVERSIDADE DO ESTADO DA BAHIA,,,SERRINHA,BA,25,25,1.2692186140802,2.0
2014,702,MATEMÁTICA (LICENCIATURA),40,UNIVERSIDADE DO ESTADO DA BAHIA,,,TEIXEIRA DE FREITAS,BA,61,35,1.23296208558957,2.0
2014,702,MATEMÁTICA (LICENCIATURA),43,FUNDAÇÃO UNIVERSIDADE DO ESTADO DE SANTA CATARINA,,,JOINVILLE,SC,22,22,3.4378776236636,4.0
2014,702,MATEMÁTICA (LICENCIATURA),47,UNIVERSIDADE ESTADUAL DE GOIÁS,,,ANAPOLIS,GO,16,15,0.919869456918364,1.0
2014,702,MATEMÁTICA (LICENCIATURA),47,UNIVERSIDADE ESTADUAL DE GOIÁS,,,FORMOSA,GO,23,19,2.78272993658675,3.0
2014,702,MATEMÁTICA (LICENCIATURA),47,UNIVERSIDADE ESTADUAL DE GOIÁS,,,GOIAS,GO,25,24,1.46026358862306,2.0
2014,702,MATEMÁTICA (LICENCIATURA),47,UNIVERSIDADE ESTADUAL DE GOIÁS,,,IPORA,GO,8,8,2.49735415456845,3.0
2014,702,MATEMÁTICA (LICENCIATURA),47,UNIVERSIDADE ESTADUAL DE GOIÁS,,,JUSSARA,GO,13,12,1.37838336565854,2.0
2014,702,MATEMÁTICA (LICENCIATURA),47,UNIVERSIDADE ESTADUAL DE GOIÁS,,,MORRINHOS,GO,41,37,1.57445535077448,2.0
2014,702,MATEMÁTICA (LICENCIATURA),47,UNIVERSIDADE ESTADUAL DE GOIÁS,,,PORANGATU,GO,22,19,1.49230264703647,2.0
2014,702,MATEMÁTICA (LICENCIATURA),47,UNIVERSIDADE ESTADUAL DE GOIÁS,,,POSSE,GO,26,22,1.78452102782188,2.0
2014,702,MATEMÁTICA (LICENCIATURA),47,UNIVERSIDADE ESTADUAL DE GOIÁS,,,QUIRINOPOLIS,GO,24,23,1.64600949228039,2.0
2014,702,MATEMÁTICA (LICENCIATURA),47,UNIVERSIDADE ESTADUAL DE GOIÁS,,,SANTA HELENA DE GOIAS,GO,11,11,1.28300549654554,2.0
2014,702,MATEMÁTICA (LICENCIATURA),54,UNIVERSIDADE ESTADUAL DE CAMPINAS,,,CAMPINAS,SP,39,29,2.24123639434726,3.0
2014,702,MATEMÁTICA (LICENCIATURA),56,UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO,,,BAURU,SP,26,23,2.63076208920994,3.0
2014,702,MATEMÁTICA (LICENCIATURA),56,UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO,,,GUARATINGUETA,SP,40,36,3.86685909170651,4.0
2014,702,MATEMÁTICA (LICENCIATURA),56,UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO,,,ILHA SOLTEIRA,SP,14,14,4.22123555764292,5.0
2014,702,MATEMÁTICA (LICENCIATURA),56,UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO,,,PRESIDENTE PRUDENTE,SP,38,28,2.80965187917215,3.0
2014,702,MATEMÁTICA (LICENCIATURA),56,UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO,,,RIO CLARO,SP,30,24,2.8478535783211,3.0
2014,702,MATEMÁTICA (LICENCIATURA),56,UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO,,,SAO JOSE DO RIO PRETO,SP,50,42,2.91638767690936,3.0
