Ano,Código da Área,Área de Avaliação,Nome da IES,Categoria Administrativa,Modalidade de Ensino,Município do Curso,Estado,Concluintes Inscritos,Concluintes Participantes,Conceito Enade (Contínuo),Conceito Enade (Faixa)
2017,701,MATEMÁTICA (BACHARELADO),UNIVERSIDADE DE BRASÍLIA,Pública Federal,Educação Presencial,Brasília,DF,23,15,2.620937097777,3
2017,701,MATEMÁTICA (BACHARELADO),UNIVERSIDADE FEDERAL DE SERGIPE,Pública Federal,Educação Presencial,São Cristóvão,SE,8,6,2.081480355393,3
2017,701,MATEMÁTICA (BACHARELADO),UNIVERSIDADE FEDERAL DE SERGIPE,Pública Federal,Educação Presencial,São Cristóvão,SE,5,5,2.014541182002,3
2017,701,MATEMÁTICA (BACHARELADO),UNIVERSIDADE FEDERAL DO AMAZONAS,Pública Federal,Educação Presencial,Manaus,AM,7,6,1.666768803879,2
2017,701,MATEMÁTICA (BACHARELADO),UNIVERSIDADE FEDERAL DO AMAZONAS,Pública Federal,Educação Presencial,Manaus,AM,7,7,1.401311537305,2
2017,701,MATEMÁTICA (BACHARELADO),UNIVERSIDADE FEDERAL DO PIAUÍ,Pública Federal,Educação Presencial,Teresina,PI,10,8,1.163783164881,2
2017,701,MATEMÁTICA (BACHARELADO),UNIVERSIDADE FEDERAL DE OURO PRETO,Pública Federal,Educação Presencial,Ouro Preto,MG,2,2,4.221888891241,5
2017,701,MATEMÁTICA (BACHARELADO),UNIVERSIDADE FEDERAL DE SÃO CARLOS,Pública Federal,Educação Presencial,São Carlos,SP,14,8,2.110573704951,3
2017,701,MATEMÁTICA (BACHARELADO),UNIVERSIDADE FEDERAL DE SÃO CARLOS,Pública Federal,Educação Presencial,São Carlos,SP,5,1,0.0,0
2017,701,MATEMÁTICA (BACHARELADO),UNIVERSIDADE FEDERAL DE VIÇOSA,Pública Federal,Educação Presencial,Viçosa,MG,11,11,2.123421239371,3
2017,701,MATEMÁTICA (BACHARELADO),UNIVERSIDADE ESTADUAL DE LONDRINA,Pública Estadual,Educação Presencial,Londrina,PR,7,4,1.969120427294,3
2017,701,MATEMÁTICA (BACHARELADO),UNIVERSIDADE FEDERAL DO RIO GRANDE,Pública Federal,Educação Presencial,Rio Grande,RS,7,7,1.078379837732,2
2017,701,MATEMÁTICA (BACHARELADO),UNIVERSIDADE FEDERAL DE UBERLÂNDIA,Pública Federal,Educação Presencial,Ituiutaba,MG,4,4,0.391625407876,1
2017,701,MATEMÁTICA (BACHARELADO),UNIVERSIDADE FEDERAL DE UBERLÂNDIA,Pública Federal,Educação Presencial,Uberlândia,MG,20,11,1.846701461016,2
2017,701,MATEMÁTICA (BACHARELADO),PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL,Privada sem fins lucrativos,Educação Presencial,Porto Alegre,RS,5,3,1.508357934474,2
2017,701,MATEMÁTICA (BACHARELADO),UNIVERSIDADE ESTADUAL DE SANTA CRUZ,Pública Estadual,Educação Presencial,Ilhéus,BA,5,5,0.591326823665,1
2017,701,MATEMÁTICA (BACHARELADO),UNIVERSIDADE ESTADUAL DE CAMPINAS,Pública Estadual,Educação Presencial,Campinas,SP,13,6,3.281248578204,4
